City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Current Description
87,Dali,CN,25.7,100.1833,47.95,91,14,few clouds
88,Ust-Koksa,RU,50.2696,85.6108,12.69,92,98,overcast clouds
89,San Cristobal,VE,7.7669,-72.225,77.18,54,98,overcast clouds
90,Inirida,CO,3.8653,-67.9239,80.46,91,97,overcast clouds
91,Diffa,NE,13.3154,12.6113,70.93,20,5,clear sky
92,Mount Gambier,AU,-37.8333,140.7667,51.71,76,90,overcast clouds
93,Bengkulu,ID,-3.8004,102.2655,74.68,91,59,broken clouds
94,Vila Franca Do Campo,PT,37.7167,-25.4333,61.2,69,100,overcast clouds
95,Avarua,CK,-21.2078,-159.775,80.65,83,90,light rain
96,Arraial Do Cabo,BR,-22.9661,-42.0278,67.96,94,75,broken clouds
97,Sur,OM,22.5667,59.5289,74.17,45,44,scattered clouds
98,Barranca,PE,-10.75,-77.7667,69.66,78,96,overcast clouds
99,Kupang,ID,-10.1667,123.5833,78.98,81,37,scattered clouds
100,Am Timan,TD,11.0297,20.2827,79.75,20,3,clear sky
101,Lewistown,US,40.5992,-77.5714,38.07,80,90,light snow
102,Guilin,CN,25.2819,110.2864,50.11,64,98,overcast clouds
103,Isangel,VU,-19.55,169.2667,80.71,83,40,scattered clouds
104,Port Elizabeth,ZA,-33.918,25.5701,65.1,100,90,mist
105,Paamiut,GL,61.994,-49.6678,23.07,76,100,overcast clouds
106,Alugan,PH,12.2188,125.4808,79.25,87,100,moderate rain
107,Lagoa,PT,39.05,-27.9833,60.44,54,100,overcast clouds
108,Itupiranga,BR,-5.1347,-49.3267,82.72,86,100,overcast clouds
109,Maningrida,AU,-12.0667,134.2667,81.64,73,41,scattered clouds
110,Zhigansk,RU,66.7697,123.3711,-20.04,96,99,overcast clouds
111,Mehamn,NO,71.0357,27.8492,21.38,62,0,clear sky
112,Nikolskoye,RU,59.7035,30.7861,10.29,100,93,overcast clouds
113,Kahului,US,20.8947,-156.47,79.86,80,75,broken clouds
114,Bowen,AU,-20.0167,148.2333,75.42,80,76,broken clouds
115,Phalaborwa,ZA,-23.943,31.1411,72.68,79,100,overcast clouds
116,Businga,CD,3.3333,20.8833,73.71,81,5,clear sky
117,Sainte-Rose,GP,16.3324,-61.6979,81.18,78,20,few clouds
118,Barrow,US,71.2906,-156.7887,8.62,72,90,haze
119,Half Moon Bay,US,37.4636,-122.4286,60.91,87,75,mist
120,Tasiilaq,GL,65.6145,-37.6368,30.36,90,100,snow
121,East London,ZA,-33.0153,27.9116,70.57,93,99,light rain
122,Padang,ID,-0.9492,100.3543,77.41,87,67,broken clouds
123,Tuy Hoa,VN,13.0833,109.3,73.42,90,89,overcast clouds
124,Martinsburg,US,39.4562,-77.9639,43.88,58,75,broken clouds
125,Nesebar,BG,42.7833,27.7333,38.35,83,65,broken clouds
126,Abaza,RU,52.655,90.0928,2.57,99,84,broken clouds
127,Atuona,PF,-9.8,-139.0333,78.21,74,11,few clouds
128,Margate,GB,51.3813,1.3862,43.7,73,81,broken clouds
129,Yuzhne,UA,46.6221,31.1013,41.22,92,100,overcast clouds
130,Finschhafen,PG,-6.6024,147.8681,81.05,79,96,overcast clouds
131,Eyl,SO,7.9803,49.8164,75.42,68,98,overcast clouds
132,Belyy Yar,RU,53.6039,91.3903,4.86,84,0,clear sky
133,Tailai,CN,46.3833,123.4,20.82,85,89,overcast clouds
134,Steinbach,DE,50.1667,8.5667,38.88,100,20,few clouds
135,Puerto Ayora,EC,-0.7393,-90.3518,80.56,78,88,overcast clouds
136,Saint-Philippe,RE,-21.3585,55.7679,74.75,72,20,few clouds
137,Luanda,AO,-8.8368,13.2343,78.06,85,71,broken clouds
138,Puri,IN,19.8,85.85,73.92,79,61,broken clouds
139,Airai,TL,-8.9266,125.4092,60.28,92,83,broken clouds
140,Smederevska Palanka,RS,44.3655,20.9589,33.58,90,88,overcast clouds
141,Buraydah,SA,26.326,43.975,61.25,22,73,broken clouds
142,Clarence Town,AU,-32.5833,151.7833,68.34,98,100,overcast clouds
143,Anderson,US,34.5334,-82.6499,59.22,61,14,few clouds
144,Butajira,ET,8.1167,38.3667,57.69,42,59,broken clouds
145,Port Lincoln,AU,-34.7333,135.8667,57.76,57,83,broken clouds
146,Cherskiy,RU,68.75,161.3,-43.85,99,100,overcast clouds
147,Hushitai,CN,41.9322,123.5114,31.91,61,100,overcast clouds
148,Ejby,DK,55.4858,12.0817,35.31,86,90,light snow
149,Geraldton,AU,-28.7667,114.6,70.21,88,90,overcast clouds
150,Viedma,AR,-40.8135,-62.9967,55.89,84,100,light rain
151,Buala,SB,-8.145,159.5921,81.41,84,100,light rain
152,Zatoka,UA,46.0725,30.4654,41.54,91,100,overcast clouds
153,Khatanga,RU,71.9667,102.5,0.64,96,100,overcast clouds
154,Dutse,NG,11.7594,9.3392,68.4,16,53,broken clouds
155,Dikson,RU,73.5069,80.5464,-3.71,94,100,overcast clouds
156,Labuhan,ID,-6.8844,112.2051,78.87,84,100,overcast clouds
157,Svobodnyy,RU,51.4,128.1333,12.81,94,97,overcast clouds
158,Terre-De-Bas,GP,15.8501,-61.6442,82.81,73,2,clear sky
159,Madaoua,NE,14.073,5.96,69.69,11,100,overcast clouds
160,Bairiki,KI,1.3292,172.9752,84.2,79,40,scattered clouds
161,Merauke,ID,-8.4667,140.3333,78.46,90,100,overcast clouds
162,Yellowknife,CA,62.456,-114.3525,6.42,95,90,light snow
163,Kaeo,NZ,-35.1,173.7833,67.32,93,99,overcast clouds
164,Tashtyp,RU,52.7939,89.8983,-1.53,99,68,broken clouds
165,Vestmannaeyjar,IS,63.4427,-20.2734,40.86,65,100,overcast clouds
166,Bambous Virieux,MU,-20.3428,57.7575,78.22,78,20,few clouds
167,Perez,AR,-32.9983,-60.7679,92.62,30,0,clear sky
168,Kununurra,AU,-15.7667,128.7333,75.18,88,40,moderate rain
169,Port Alfred,ZA,-33.5906,26.891,69.12,95,100,light rain
170,Baoding,CN,38.8511,115.4903,38.05,95,100,overcast clouds
171,Bredasdorp,ZA,-34.5322,20.0403,64.27,89,99,overcast clouds
172,Bandarbeyla,SO,9.4942,50.8122,76.35,70,49,scattered clouds
173,Mahebourg,MU,-20.4081,57.7,78.26,78,20,few clouds
174,Vostok,RU,46.4856,135.8833,11.62,88,31,scattered clouds
175,Muros,ES,42.7762,-9.0603,51.24,94,77,broken clouds
176,Kapaa,US,22.0752,-159.319,82.38,77,75,light rain
177,Eureka,US,40.8021,-124.1637,55.13,84,100,overcast clouds
178,Hamilton,US,39.1834,-84.5333,42.08,59,1,clear sky
