City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
78,Westport,US,41.79,overcast clouds,41.1415,-73.3579,Norwalk Inn
79,Acquaviva Delle Fonti,IT,54.79,few clouds,40.8978,16.8425,B&B La Stazione
80,Hithadhoo,MV,81.48,overcast clouds,-0.6,73.0833,Scoop Guest House
81,Piacabucu,BR,80.76,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
82,Enshi,CN,44.83,scattered clouds,30.3,109.4833,Moevenpick Enshi
83,Cimitarra,CO,87.71,overcast clouds,6.3142,-73.9497,HOTEL CARARE PLAZA
84,Ponta Delgada,PT,61.5,broken clouds,37.7333,-25.6667,Vila Nova Hotel
85,Kropotkin,RU,49.78,overcast clouds,45.4375,40.5756,Hotel Europe Kropotkin
86,Butaritari,KI,82.42,broken clouds,3.0707,172.7902,Isles Sunset Lodge
87,Dali,CN,47.95,few clouds,25.7,100.1833,Dali Travelling With Hostel
88,Ust-Koksa,RU,12.69,overcast clouds,50.2696,85.6108,Uymonskaya Dolina
89,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
90,Inirida,CO,80.46,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
91,Diffa,NE,70.93,clear sky,13.3154,12.6113,ProDAF/Diffa
92,Mount Gambier,AU,51.71,overcast clouds,-37.8333,140.7667,The Commodore
93,Bengkulu,ID,74.68,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
94,Vila Franca Do Campo,PT,61.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
95,Avarua,CK,80.65,light rain,-21.2078,-159.775,Paradise Inn
96,Arraial Do Cabo,BR,67.96,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
97,Sur,OM,74.17,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
98,Barranca,PE,69.66,overcast clouds,-10.75,-77.7667,El Olivar Hospedaje
99,Kupang,ID,78.98,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
100,Am Timan,TD,79.75,clear sky,11.0297,20.2827,Palais du chef Canton Salamt
101,Lewistown,US,38.07,light snow,40.5992,-77.5714,Quality Inn & Suites
102,Guilin,CN,50.11,overcast clouds,25.2819,110.2864,Grand 0773 Hotel
103,Isangel,VU,80.71,scattered clouds,-19.55,169.2667,Tanna Lodge
104,Port Elizabeth,ZA,65.1,mist,-33.918,25.5701,39 On Nile Guest House
105,Paamiut,GL,23.07,overcast clouds,61.994,-49.6678,Pistut
