City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Sakakah,SA,2021-12-04 00:18:39,29.9697,40.2064,51.37,43,100,7.7
68,Hermanus,ZA,2021-12-04 00:18:39,-34.4187,19.2345,59.9,74,86,11.81
69,Marmora,IT,2021-12-04 00:18:40,44.4583,7.094,31.32,57,86,7.36
70,Kushmurun,KZ,2021-12-04 00:18:40,52.4503,64.6311,28.26,91,40,11.59
71,Thompson,CA,2021-12-04 00:12:20,55.7435,-97.8558,-3.26,98,99,4.38
72,Anadyr,RU,2021-12-04 00:17:07,64.75,177.4833,10.9,72,40,22.37
73,Tateyama,JP,2021-12-04 00:18:41,34.9833,139.8667,56.1,55,0,27.94
74,Nikolskoye,RU,2021-12-04 00:18:41,59.7035,30.7861,24.03,95,100,6.64
75,Yellowknife,CA,2021-12-04 00:14:47,62.456,-114.3525,-6.45,93,100,10.85
76,Fortuna,US,2021-12-04 00:18:42,40.5982,-124.1573,57.42,73,90,1.01
77,North Platte,US,2021-12-04 00:13:59,41.1239,-100.7654,48.38,46,1,1.99
78,Georgetown,MY,2021-12-04 00:18:42,5.4112,100.3354,79.9,85,20,1.99
79,Kargil,IN,2021-12-04 00:18:43,34.5667,76.1,13.51,68,77,1.88
80,Balikpapan,ID,2021-12-04 00:18:43,-1.2675,116.8289,79.79,94,20,6.91
81,Lac Du Bonnet,CA,2021-12-04 00:18:43,50.2536,-96.0612,23.23,89,90,13.18
82,Camacha,PT,2021-12-04 00:14:45,33.0833,-16.3333,61.56,67,75,13.8
83,Kholodnyy,RU,2021-12-04 00:18:44,62.7167,147.95,-26.52,99,100,2.89
84,Saint George,US,2021-12-04 00:14:30,37.1041,-113.5841,65.35,23,1,0.0
85,Bambous Virieux,MU,2021-12-04 00:18:44,-20.3428,57.7575,76.21,88,20,5.75
86,Cockburn Town,TC,2021-12-04 00:18:45,21.4612,-71.1419,79.61,76,5,15.68
87,Klyuchi,RU,2021-12-04 00:18:45,52.2667,79.1667,24.37,86,23,14.05
88,Riohacha,CO,2021-12-04 00:18:45,11.5444,-72.9072,80.83,72,100,12.26
